id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
auction,35.04,230292945,33.49884,70.44,3.47,16-03-2025_23-26-16
aioz-network,0.295552,338850244,8.10681,2.65,0.01099588,16-03-2025_23-26-16
mantle,0.809281,2722984907,6.63328,1.54,0.307978,16-03-2025_23-26-16
helium,3.24,582061339,3.9126,54.88,0.113248,16-03-2025_23-26-16
okb,48.37,2904694657,3.70306,73.8,0.580608,16-03-2025_23-26-16
kava,0.480102,520163698,3.43893,9.12,0.247359,16-03-2025_23-26-16
solayer,1.2,251646440,3.08493,1.41,0.599884,16-03-2025_23-26-16
echelon-prime,4.0,224963565,2.94863,28.0,1.19,16-03-2025_23-26-16
mantra-dao,6.8,6690061605,2.86478,8.99,0.01726188,16-03-2025_23-26-16
zcash,33.29,532104694,2.71626,3191.93,16.08,16-03-2025_23-26-16
