id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
wemix-token,0.592139,248127979,-12.37998,24.71,0.128398,16-03-2025_23-26-16
deep,0.089167,223900464,-12.08309,0.341085,0.01073218,16-03-2025_23-26-16
snek,0.00306453,228123048,-10.9592,0.00895508,0.00013847,16-03-2025_23-26-16
hyperliquid,13.07,4363869920,-10.08382,34.96,3.81,16-03-2025_23-26-16
sonic-3,0.497655,1583243470,-9.98637,1.029,0.359647,16-03-2025_23-26-16
pepe,6.54e-06,2751322302,-9.85985,2.803e-05,5.5142e-08,16-03-2025_23-26-16
kaspa,0.073759,1905010401,-9.38878,0.207411,0.00017105,16-03-2025_23-26-16
fartcoin,0.308495,308472088,-9.29082,2.48,0.02002855,16-03-2025_23-26-16
jasmycoin,0.01363448,660802384,-9.02719,4.79,0.00275026,16-03-2025_23-26-16
jupiter-exchange-solana,0.488106,1313818809,-8.52123,2.0,0.454413,16-03-2025_23-26-16
