id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
auction,35.41,230900128,35.65591,70.44,3.47,16-03-2025_23-30-11
aioz-network,0.296143,339117968,8.26921,2.65,0.01099588,16-03-2025_23-30-11
mantle,0.811356,2722984907,6.86657,1.54,0.307978,16-03-2025_23-30-11
solayer,1.21,251374079,4.44859,1.41,0.599884,16-03-2025_23-30-11
helium,3.25,582063742,4.10948,54.88,0.113248,16-03-2025_23-30-11
okb,48.43,2904326399,3.78617,73.8,0.580608,16-03-2025_23-30-11
kava,0.480686,520220694,3.59245,9.12,0.247359,16-03-2025_23-30-11
echelon-prime,4.01,224963565,3.08563,28.0,1.19,16-03-2025_23-30-11
mantra-dao,6.8,6693092381,2.91207,8.99,0.01726188,16-03-2025_23-30-11
zcash,33.31,531022074,2.77685,3191.93,16.08,16-03-2025_23-30-11
