id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
deep,0.090488,226373430,-11.46628,0.341085,0.01073218,16-03-2025_22-13-00
snek,0.00306936,228482730,-11.02059,0.00895508,0.00013847,16-03-2025_22-13-00
sonic-3,0.496127,1576011240,-10.47085,1.029,0.359647,16-03-2025_22-13-00
pepe,6.57e-06,2765090506,-9.96444,2.803e-05,5.5142e-08,16-03-2025_22-13-00
jasmycoin,0.01377575,667246195,-8.72724,4.79,0.00275026,16-03-2025_22-13-00
kaspa,0.074479,1925465485,-8.47206,0.207411,0.00017105,16-03-2025_22-13-00
grass,1.37,377794347,-8.31438,3.89,0.654959,16-03-2025_22-13-00
wemix-token,0.5936,247686979,-8.16741,24.71,0.128398,16-03-2025_22-13-00
jupiter-exchange-solana,0.493332,1327702191,-7.85303,2.0,0.454413,16-03-2025_22-13-00
hyperliquid,13.28,4421716680,-7.76759,34.96,3.81,16-03-2025_22-13-00
