id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
auction,35.19,231345302,33.97008,70.44,3.47,16-03-2025_22-13-00
aioz-network,0.304662,349901712,11.85824,2.65,0.01099588,16-03-2025_22-13-00
mantle,0.824077,2772859040,9.21414,1.54,0.307978,16-03-2025_22-13-00
echelon-prime,4.05,228032881,6.44988,28.0,1.19,16-03-2025_22-13-00
okb,49.02,2943283913,5.34848,73.8,0.580608,16-03-2025_22-13-00
shiba-inu,1.322e-05,7794026006,3.36268,8.616e-05,5.6366e-11,16-03-2025_22-13-00
kava,0.480226,520783010,3.30637,9.12,0.247359,16-03-2025_22-13-00
mantra-dao,6.83,6714538020,3.29459,8.99,0.01726188,16-03-2025_22-13-00
helium,3.15,567619171,2.57083,54.88,0.113248,16-03-2025_22-13-00
zcash,33.15,528193035,2.3356,3191.93,16.08,16-03-2025_22-13-00
