id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
wemix-token,0.590132,246953639,-12.47474,24.71,0.128398,16-03-2025_23-30-11
deep,0.08949,223266293,-11.78984,0.341085,0.01073218,16-03-2025_23-30-11
snek,0.00308093,228123048,-10.41404,0.00895508,0.00013847,16-03-2025_23-30-11
hyperliquid,13.07,4363869920,-10.20585,34.96,3.81,16-03-2025_23-30-11
sonic-3,0.498436,1582789523,-9.89266,1.029,0.359647,16-03-2025_23-30-11
pepe,6.56e-06,2751322302,-9.43322,2.803e-05,5.5142e-08,16-03-2025_23-30-11
fartcoin,0.308627,308472088,-9.25196,2.48,0.02002855,16-03-2025_23-30-11
kaspa,0.074209,1915718005,-8.76222,0.207411,0.00017105,16-03-2025_23-30-11
jasmycoin,0.01366978,660191875,-8.63532,4.79,0.00275026,16-03-2025_23-30-11
raydium,1.58,457977395,-8.21166,16.83,0.134391,16-03-2025_23-30-11
